# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 16 08:34:22 2023
#
# User preference: *
#
# CONSTRAINT:  where (kepoi_name like '%.01%'
# CONSTRAINT:  and koi_disposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  and koi_pdisposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  and koi_steff in [2000,4500]
# CONSTRAINT:  and koi_srad in [0.05,0.8]
# CONSTRAINT:  and koi_smass in [0.08,0.8])
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_depth,koi_prad,koi_teq,koi_steff,koi_srad,koi_smass
6444896,K03138.01,Kepler-1649 b,CONFIRMED,CANDIDATE,1.6790e+03,0.49,211.0,2703.00,0.1180,0.0960
6423922,K06705.01,,CANDIDATE,CANDIDATE,1.0170e+02,0.22,509.0,3325.00,0.1090,0.1010
8561063,K00961.01,Kepler-42 b,CONFIRMED,CANDIDATE,1.8210e+03,0.78,525.0,3292.00,0.1480,0.1320
9730163,K02704.01,Kepler-445 c,CONFIRMED,CANDIDATE,6.4620e+03,1.56,341.0,3157.00,0.1800,0.1530
7350067,K06863.01,Kepler-1646 b,CONFIRMED,CANDIDATE,2.2650e+03,0.95,365.0,3236.00,0.1930,0.1690
5868793,K04290.01,Kepler-1582 b,CONFIRMED,CANDIDATE,1.5440e+03,0.79,354.0,3187.00,0.2000,0.1800
10452252,K08012.01,,CANDIDATE,CANDIDATE,3.9900e+02,0.42,199.0,3374.00,0.2180,0.2020
5551672,K03119.01,,CANDIDATE,CANDIDATE,1.5468e+03,0.94,529.0,3421.00,0.2500,0.2360
8631751,K02453.01,,CANDIDATE,CANDIDATE,6.5970e+02,0.84,608.0,3462.00,0.2590,0.2470
7304449,K01702.01,Kepler-1650 b,CONFIRMED,CANDIDATE,8.4100e+02,1.00,602.0,3364.00,0.2740,0.2600
11547869,K03749.01,,CANDIDATE,CANDIDATE,5.6197e+04,12.85,307.0,3324.00,0.2680,0.2670
8845205,K00463.01,Kepler-560 b,CONFIRMED,CANDIDATE,2.6046e+03,1.55,267.0,3395.00,0.2830,0.2710
6592335,K04777.01,Kepler-1971 b,CONFIRMED,CANDIDATE,1.8310e+02,0.42,746.0,3396.00,0.2800,0.2800
11722217,K05930.01,,CANDIDATE,CANDIDATE,1.1060e+03,1.00,106.0,3358.00,0.3030,0.2940
10403228,K08007.01,,CANDIDATE,CANDIDATE,1.6899e+03,9.66,179.0,3391.00,0.3110,0.3040
8733898,K02842.01,Kepler-446 b,CONFIRMED,CANDIDATE,2.7546e+03,1.73,648.0,3464.00,0.3280,0.3280
8424002,K03497.01,Kepler-1512 b,CONFIRMED,CANDIDATE,3.4570e+02,0.80,276.0,3419.00,0.3440,0.3460
6036286,K05228.01,,CANDIDATE,CANDIDATE,7.5800e+02,1.03,94.0,3434.00,0.3600,0.3680
9605552,K03102.01,,CANDIDATE,CANDIDATE,2.9420e+02,0.61,394.0,3773.00,0.3500,0.3760
6183511,K02542.01,Kepler-1855 b,CONFIRMED,CANDIDATE,3.5740e+02,0.67,849.0,3460.00,0.3560,0.3850
11497958,K01422.01,Kepler-296 c,CONFIRMED,CANDIDATE,1.3363e+03,1.38,446.0,3526.00,0.3830,0.3940
9390653,K00249.01,Kepler-504 b,CONFIRMED,CANDIDATE,1.8269e+03,1.57,374.0,3547.00,0.3690,0.3960
8351704,K01146.01,Kepler-779 b,CONFIRMED,CANDIDATE,3.6950e+02,0.74,425.0,3569.00,0.3890,0.4000
11559304,K07617.01,,CANDIDATE,CANDIDATE,2.9790e+02,0.64,343.0,3578.00,0.3750,0.4010
5769943,K03810.01,,CANDIDATE,CANDIDATE,3.3878e+04,18.59,827.0,3644.00,0.3890,0.4120
11453592,K02705.01,Kepler-1319 b,CONFIRMED,CANDIDATE,6.3180e+02,1.24,557.0,3483.00,0.3890,0.4150
9419020,K04808.01,,CANDIDATE,CANDIDATE,2.5440e+02,0.65,621.0,3606.00,0.3990,0.4150
11768142,K02626.01,Kepler-1652 b,CONFIRMED,CANDIDATE,9.1330e+02,1.58,242.0,3554.00,0.3980,0.4260
2557350,K06276.01,,CANDIDATE,CANDIDATE,2.4800e+02,0.64,579.0,3628.00,0.4100,0.4270
5688790,K03144.01,Kepler-1439 b,CONFIRMED,CANDIDATE,1.0560e+03,1.59,420.0,3675.00,0.3980,0.4280
1873513,K04928.01,Kepler-1624 b,CONFIRMED,CANDIDATE,1.3553e+04,4.91,540.0,3386.00,0.4270,0.4300
5951140,K06635.01,,CANDIDATE,CANDIDATE,1.3160e+03,1.49,1027.0,3582.00,0.4100,0.4310
7907423,K00899.01,Kepler-249 c,CONFIRMED,CANDIDATE,8.0760e+02,1.16,429.0,3561.00,0.4110,0.4400
5428199,K05162.01,,CANDIDATE,CANDIDATE,5.0230e+02,0.95,101.0,3697.00,0.4230,0.4410
5531953,K01681.01,,CANDIDATE,CANDIDATE,6.1470e+02,1.41,445.0,3638.00,0.4200,0.4500
10905746,K01725.01,Kepler-1651 b,CONFIRMED,CANDIDATE,1.4727e+03,1.60,393.0,3609.00,0.4220,0.4520
8120608,K00571.01,Kepler-186 c,CONFIRMED,CANDIDATE,6.5910e+02,1.14,464.0,3751.00,0.4430,0.4520
4061149,K01201.01,Kepler-1741 b,CONFIRMED,CANDIDATE,5.6310e+02,1.01,615.0,3683.00,0.4240,0.4540
9772531,K00950.01,,CANDIDATE,CANDIDATE,3.4514e+04,8.31,286.0,3748.00,0.4490,0.4610
2556650,K02156.01,Kepler-1124 b,CONFIRMED,CANDIDATE,1.4029e+03,1.66,621.0,3731.00,0.4330,0.4630
10920281,K08037.01,,CANDIDATE,CANDIDATE,2.5320e+02,0.72,578.0,3704.00,0.4500,0.4630
9823519,K02793.01,Kepler-1350 b,CONFIRMED,CANDIDATE,1.9325e+03,1.93,535.0,3698.00,0.4440,0.4640
10166274,K01078.01,Kepler-267 b,CONFIRMED,CANDIDATE,1.2647e+03,1.65,615.0,3789.00,0.4600,0.4670
