# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 16 20:07:27 2023
#
# User preference: *
#
# CONSTRAINT:  where (kepoi_name like '%.01%'
# CONSTRAINT:  and koi_disposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  and koi_pdisposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  and koi_depth not null
# CONSTRAINT:  and koi_steff not null
# CONSTRAINT:  and koi_srad not null
# CONSTRAINT:  and koi_smass not null)
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_depth,koi_prad,koi_teq,koi_steff,koi_srad,koi_smass
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,6.1580e+02,2.26,793.0,5455.00,0.9270,0.9190
10811496,K00753.01,,CANDIDATE,CANDIDATE,1.0829e+04,14.60,638.0,5853.00,0.8680,0.9610
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,6.0330e+02,2.75,1406.0,6031.00,1.0460,1.0950
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.5175e+03,3.90,835.0,6046.00,0.9720,1.0530
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,4.9143e+03,5.76,600.0,5031.00,0.8480,0.8010
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,1.4231e+04,13.04,1339.0,5820.00,0.9640,0.9710
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,6.6747e+03,16.10,2048.0,6440.00,1.9520,1.4490
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,9.1457e+03,14.59,1521.0,6225.00,1.4510,1.1320
10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.2883e+03,2.47,649.0,4856.00,0.6960,0.6760
10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.9127e+03,2.85,678.0,4537.00,0.6720,0.7610
10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,8.3100e+02,2.55,919.0,5185.00,0.9100,0.8310
10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,8.5720e+02,2.95,530.0,4954.00,0.8280,0.7910
10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,9.3470e+02,2.78,917.0,5339.00,0.8470,0.9310
11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,7.5080e+02,2.30,1012.0,5644.00,0.8310,0.9280
11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,7.2420e+02,2.82,529.0,5481.00,1.0360,0.9150
10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.1219e+03,3.10,593.0,5015.00,0.8260,0.7850
11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1.8048e+03,3.36,506.0,5586.00,0.7980,0.8440
11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,9.8020e+03,12.21,1103.0,5712.00,1.0820,0.9760
11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.6000e+02,2.10,1133.0,6075.00,0.9690,1.0480
9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,6.0160e+02,2.94,1093.0,5779.00,1.0870,0.9410
11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,2.7931e+03,5.50,516.0,5468.00,1.0460,0.9300
11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1.0416e+03,2.52,790.0,5592.00,0.7870,0.8620
11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.4873e+03,4.43,1243.0,6174.00,1.1030,1.1620
11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.6814e+04,12.21,1219.0,5532.00,0.9550,0.9410
12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,4.2670e+02,1.89,1147.0,5880.00,0.9170,1.0100
12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1.0109e+03,3.25,1104.0,5714.00,1.0150,1.0070
12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1.5109e+03,3.07,489.0,5129.00,0.7630,0.8460
8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,5.1170e+02,2.64,785.0,5854.00,1.0120,0.9510
11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1.1271e+03,2.00,433.0,4126.00,0.6150,0.6330
11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,5.2265e+03,6.02,1023.0,5497.00,0.8090,0.9070
11818800,K00777.01,,CANDIDATE,CANDIDATE,6.2560e+03,7.51,467.0,5446.00,0.7810,0.7140
