# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 18 22:25:20 2023
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and sy_snum = 1
# CONSTRAINT:  and tran_flag not null
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_massestr not null
# CONSTRAINT:  and pl_insolstr not null
# CONSTRAINT:  and pl_eqtstr not null
# CONSTRAINT:  and pl_tranmidstr not null
# CONSTRAINT:  and pl_impparstr not null
# CONSTRAINT:  and pl_trandepstr not null
# CONSTRAINT:  and pl_trandurstr not null
# CONSTRAINT:  and pl_ratdorstr not null
# CONSTRAINT:  and pl_ratrorstr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_lumstr not null
# CONSTRAINT:  and st_loggstr not null)
# CONSTRAINT:  order by pl_tranmid desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_impparerr1:  Impact Parameter Upper Unc.
# COLUMN pl_impparerr2:  Impact Parameter Lower Unc.
# COLUMN pl_impparlim:   Impact Parameter Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,tran_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
TOI-4603 b,TOI-4603,1,1,1,1,<a refstr=KHANDELWAL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230311841K/abstract target=ref>Khandelwal et al. 2023</a>,7.24599000,0.00022000,-0.00021000,0,0.088800,0.001000,-0.001000,0,11.680,0.426,-0.392,0,4096.80817,184.34048,-181.16219,0,1192.00,71.00,-68.00,0,1677,24,-24,0,2459549.126000,0.001400,-0.001400,0,0.9521,0.0044,-0.0049,0,0.152800,0.009100,-0.007900,0,2.8540000,0.0530000,-0.0530000,0,6.970000,0.140000,-0.140000,0,0.03910,0.00120,-0.00100,0,<a refstr=KHANDELWAL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230311841K/abstract target=ref>Khandelwal et al. 2023</a>,6264.00,95.00,-94.00,0,2.74,0.05,-0.05,0,1.76,0.06,-0.06,0,1.017,0.026,-0.027,0,3.81,0.02,-0.02,0
TOI-1260 c,TOI-1260,1,1,3,1,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,7.49313400,0.00002000,-0.00002000,0,0.065700,0.002000,-0.002000,0,2.760,0.070,-0.070,0,13.20000,4.23000,-4.23000,0,29.81,0.05,-0.05,0,651,18,-18,0,2459068.270505,0.000577,-0.000577,0,0.7500,0.0200,-0.0200,0,0.142100,0.005500,-0.005500,0,1.9700000,0.0300000,-0.0300000,0,20.990000,0.630000,-0.630000,0,0.03770,0.00070,-0.00070,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-0.889,0.013,-0.014,0,4.57,0.05,-0.05,0
TOI-1260 b,TOI-1260,1,1,3,1,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,3.12746300,0.00000500,-0.00000500,0,0.036700,0.001100,-0.001100,0,2.410,0.050,-0.050,0,8.56000,1.54000,-1.54000,0,95.58,0.07,-0.07,0,871,24,-24,0,2459065.564269,0.000396,-0.000396,0,0.2000,0.1200,-0.1200,0,0.108200,0.003700,-0.003700,0,2.0600000,0.0200000,-0.0200000,0,11.730000,0.350000,-0.350000,0,0.03290,0.00060,-0.00060,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-0.889,0.013,-0.014,0,4.57,0.05,-0.05,0
TOI-1260 d,TOI-1260,1,1,3,1,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,16.60816400,0.00008300,-0.00008300,0,0.111600,0.003300,-0.003300,0,3.120,0.080,-0.080,0,11.84000,7.79000,-7.79000,0,10.32,0.07,-0.07,0,499,14,-14,0,2459062.017406,0.001309,-0.001309,0,0.5300,0.0500,-0.0500,0,0.180800,0.007800,-0.007800,0,3.1900000,0.0700000,-0.0700000,0,35.690000,1.060000,-1.060000,0,0.04250,0.00090,-0.00090,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-0.889,0.013,-0.014,0,4.57,0.05,-0.05,0
HD 136352 d,HD 136352,1,1,3,1,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,107.24500000,0.05000000,-0.05000000,0,0.425000,0.012000,-0.012000,0,2.562,0.088,-0.079,0,8.82000,0.93000,-0.92000,0,5.74,0.38,-0.35,0,431,7,-7,0,2459009.775900,0.010100,-0.009600,0,0.4100,0.1400,-0.2100,0,0.049200,0.003000,-0.002500,0,8.8700000,0.5600000,-0.6300000,0,86.460000,1.960000,-2.020000,0,0.02219,0.00067,-0.00057,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,5664.00,61.00,-61.00,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0,0.016,0.024,-0.025,0,4.39,0.11,-0.11,0
HD 136352 c,HD 136352,1,1,3,1,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,27.59221000,0.00011000,-0.00011000,0,0.172100,0.005000,-0.005000,0,2.916,0.075,-0.073,0,11.24000,0.65000,-0.63000,0,35.10,2.30,-2.10,0,677,11,-11,0,2458954.409900,0.000520,-0.000540,0,0.8720,0.0070,-0.0070,0,0.063800,0.002400,-0.002200,0,3.2510000,0.0330000,-0.0310000,0,34.970000,0.800000,-0.820000,0,0.02526,0.00047,-0.00044,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,5664.00,61.00,-61.00,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0,0.016,0.024,-0.025,0,4.39,0.11,-0.11,0
HD 136352 b,HD 136352,1,1,3,1,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,11.57797000,0.00008000,-0.00013000,0,0.096400,0.002800,-0.002800,0,1.664,0.043,-0.043,0,4.72000,0.42000,-0.42000,0,111.60,7.30,-6.80,0,905,14,-14,0,2458944.372600,0.001500,-0.001700,0,0.5200,0.0400,-0.0500,0,0.020800,0.000800,-0.000800,0,3.9350000,0.0930000,-0.0580000,0,19.600000,0.450000,-0.460000,0,0.01442,0.00027,-0.00028,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,5664.00,61.00,-61.00,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0,0.016,0.024,-0.025,0,4.39,0.11,-0.11,0
HD 207897 b,HD 207897,1,1,1,1,<a refstr=HEIDARI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.176H/abstract target=ref>Heidari et al. 2022</a>,16.20215900,0.00008500,-0.00008300,0,0.116300,0.001700,-0.001500,0,2.501,0.082,-0.078,0,14.40000,1.60000,-1.60000,0,26.50,1.40,-1.20,0,632,8,-7,0,2458926.109420,0.000470,-0.000480,0,0.7090,0.0430,-0.0420,0,0.086600,0.002900,-0.002700,0,2.9110000,0.0340000,-0.0310000,0,32.130000,0.850000,-0.820000,0,0.02943,0.00049,-0.00046,0,<a refstr=HEIDARI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.176H/abstract target=ref>Heidari et al. 2022</a>,5070.00,60.00,-57.00,0,0.78,0.02,-0.02,0,0.80,0.04,-0.03,0,-0.444,0.022,-0.017,0,4.56,0.03,-0.03,0
TOI-1789 b,TOI-1789,1,1,1,1,<a refstr=KHANDELWAL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.3339K/abstract target=ref>Khandelwal et al. 2022</a>,3.20866400,0.00001500,-0.00001500,0,0.048820,0.000630,-0.001600,0,16.141,2.690,-1.569,0,222.47988,50.85255,-50.85255,0,2300.00,130.00,-81.00,0,1927,27,-17,0,2458873.653740,0.000620,-0.000620,0,0.9720,0.0170,-0.0110,0,0.463000,0.160000,-0.080000,0,2.3000000,0.0400000,-0.0400000,0,4.830000,0.110000,-0.160000,0,0.06800,0.01100,-0.00610,0,<a refstr=KHANDELWAL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.3339K/abstract target=ref>Khandelwal et al. 2022</a>,5991.00,55.00,-55.00,0,2.17,0.04,-0.03,0,1.51,0.06,-0.14,0,0.736,0.012,-0.011,0,3.94,0.02,-0.04,0
TOI-3785 b,TOI-3785,1,1,1,1,<a refstr=POWERS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...44P/abstract target=ref>Powers et al. 2023</a>,4.67473730,0.00000380,-0.00000380,0,0.043000,0.001000,-0.001000,0,5.140,0.160,-0.160,0,14.95000,4.10000,-3.92000,0,19.10,2.00,-2.00,0,582,16,-16,0,2458861.495530,0.000600,-0.000580,0,0.6000,0.0200,-0.0300,0,0.925400,0.000300,-0.000300,0,1.7000000,0.0200000,-0.0200000,0,18.890000,0.450000,-0.440000,0,0.09620,0.00170,-0.00170,0,<a refstr=POWERS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...44P/abstract target=ref>Powers et al. 2023</a>,3576.00,88.00,-88.00,0,0.50,0.01,-0.01,0,0.52,0.02,-0.02,0,-1.435,0.009,-0.011,0,4.75,0.05,-0.05,0
